COD_RH;     COD_RECONOCIMIENTO;     NOMBRE_RECONOCIMIENTO;     MES_RECONOCIMIENTO;     AÑO_RECONOCIMIENTO;     INSTITUCION_RECONOCIMIENTO
0000141984;3;Mejor Proyecto de Grado Ingeniería Agrícola. Trabajo dirigido a la estudiante Wendy Dayana Ramirez;Agosto;2015;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000141984;4;Mención Tesis Meritoria Maestría en Ingeniería - Recursos Hidráulicos de Inés Sánchez;Recursos Hidráulicos;Inés Sánchez,UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA - Juliode 2014;;
0000141984;5;Premio Docencia Excepcional;Agosto;2014;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000141984;6;Mención tesis meritoria Tesis de Maestría en Ingeniería - Recursos Hidráulicos de Hugo A. Estupiñán;Recursos Hidráulicos;Hugo A. Estupiñán,UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA - Diciembrede 2009;;
0000141984;7;Mención Tesis Meritoria Maestría en Ingeniería - Recursos Hidráulicos de Sergio A. Redondo;Recursos Hidráulicos;Sergio A. Redondo,UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA - Marzode 2011;;
0000141984;8;Mención Tesis Meritoria Maestría en Ingeniería - Recursos Hidráulicos de Edisson Cepeda;Recursos Hidráulicos;Edisson Cepeda,UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL - Noviembrede 2010;;
0000141984;9;Honores Beca- credito estudios de Doctorado en Canadá;credito estudios;Doctorado en Canadá,COLFUTURO - de 2000;;
0000141984;10;MSc. in water Resources with distiction;;1994;ITC;
0000141984;11;Honores beca estudios de Maestria en Holanda;;1994;NFP;
0000141984;12;Honores beca estudios de Especializacion en Holanda;;1992;NFP;
0000141984;13;Honores Beca Gobierno de Canadá para adelantar estudios de Doctorado;;2002;GOBIERNO DE CANADA;
0000141984;14;Premio Docencia Excepcional;;2001;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000145769;1;Docencia Excepcional;;1995;CSU DE LA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000145769;2;Doncecia Excepcional;;1996;CSU DE LA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000145769;3;Docencia Excepcional;;2002;CSU DE LA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000145769;4;Beca de Posgrado;;1989;CONSEJO DE FACULTAD DE INGENIERIA UNIVERSIDAD NACIONAL DE COLOMBIA;
0000145963;1;Orden al Mérito Julio Garavito;Mayo;2010;PRESIDENCIA DE LA REPUBLICA DE COLOMBIA;
0000149713;1;Placa de Honor;;1971;COLEGIO NACIONAL DE SUGAMUXI;
0000149713;2;Matrícula de Honor para Pregrado;;1976;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000151106;1;TESIS MERTORIA PREGRADO;;1998;UNIVERSIDAD NACIONAL DE COLOMBIA SEDE BOGOTA;
0000151114;1;Mejor promedio de grado Ingeniería civil;;1990;PUJB;
0000151947;1;Premio Nacional de Ingeniería Química 1995;;1995;CONSEJO PROFESIONAL DE INGENIERIA QUIMICA DE COLOMBIA;
0000152064;1;PREMIO AL MEJOR GRUPO DE INVESTIGACION DE EDUCACION SUPERIOR (RELACIONES INTERNACIONALES);Diciembre;2010;MINISTERIO DE EDUCACION NACIONAL MINEDUCACION;
0000154890;1;Premio a Mejores Bachilleres de Colombia;;1985;FUNDACION UNIVERSITARIA LOS LIBERTADORES;
0000154890;2;Condecoración Andrés Bello;;1985;MINISTERIO DE EDUCACION NACIONAL DE COLOMBIA;
0000154890;3;Ganador de la beca para estudios de posgrado en el exterior. Beca para efectuar el doctorado de Tratamiento de la información en Inteligencia Artificial en la Universidad de Granada.;;1997;DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS;
0000154890;4;Matrícula de Honor;;1987;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000154890;5;Matrícula de Honor;;1988;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000154890;6;Matrícula de Honor;;1989;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000154890;7;Concurso Internacional de Méritos Generación Internacional 125 años;;1993;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
0000154890;8;Docencia Excepcional;;2000;UNIVERSIDAD NACIONAL DE COLOMBIA OFICIAL;
